12345678910;5432169;Fulano de Tal;01/02/1958;Porto Alegre
10987654321;4455660;Cicrana Beltrana Delgrana;25/12/2972;São Leopoldo
12345678918;5432164;Fulano de Tal;01/02/1958;Porto Alegre
10987654320;44556602;Cicrana Beltrana Delgrana;25/12/2972;São Leopoldo
11223344556;77889900;Beltrano Cicrano;15/06/1980;Novo Hamburgo
22334455667;88990011;Delgrano Beltrana;30/09/1990;Canoas
33445566778;99001122;Cicrana Fulana;20/03/2000;Santa Maria
12345678916;5432160;Fulano de Tal;01/02/1958;Porto Alegre
44556677889;00112233;Fulano Cicrano;10/07/2010;Caxias do Sul
55667788990;11223344;Delgrano Cicrano;31/10/2020;Pelotas
